category,@id,name,description,supersededBy,nameZh,descriptionZh,alternateName,wikidataName,wikidataUrl,wikipediaUrl,schemaorgUrl
property,http://cnschema.org/interactivityType,interactivityType,"The predominant mode of learning supported by the learning resource. Acceptable values are 'active', 'expositive', or 'mixed'.",,交互类型,交互类型,,,,,http://schema.org/interactivityType
property,http://cnschema.org/interestRate,interestRate,"The interest rate, charged or paid, applicable to the financial product. Note: This is different from the calculated annualPercentageRate.",,利率,适用于金融产品的利率,,,,https://en.wikipedia.org/wiki/Interest_rate,http://schema.org/interestRate
property,http://cnschema.org/inventoryLevel,inventoryLevel,The current approximate inventory level for the item or items.,,库存量,当前产品的库存量,,,,,http://schema.org/inventoryLevel
property,http://cnschema.org/isAccessibleForFree,isAccessibleForFree,A flag to signal that the publication is accessible for free.,,是否免费,表示该出版物可免费获得的标志。,,,,,http://schema.org/isAccessibleForFree
property,http://cnschema.org/isAccessoryOrSparePartFor,isAccessoryOrSparePartFor,A pointer to another product (or multiple products) for which this product is an accessory or spare part.,,是另一产品的附件或备件,指明本产品是其他产品的附件或备件的指针。,,,,,http://schema.org/isAccessoryOrSparePartFor
property,http://cnschema.org/isBasedOn,isBasedOn,"A resource that was used in the creation of this resource. This term can be repeated for multiple sources. For example, http://example.com/great-multiplication-intro.html.",,上游资源URL,上游资源URL,,,,,http://schema.org/isBasedOn
property,http://cnschema.org/isBasedOnURL,isBasedOnURL,"A resource that was used in the creation of this resource. This term can be repeated for multiple sources. For example, http://example.com/great-multiplication-intro.html.",http://schema.org/isBasedOn,上游资源,上游资源,,,,,http://schema.org/isBasedOnUrl
property,http://cnschema.org/isConsumableFor,isConsumableFor,A pointer to another product (or multiple products) for which this product is a consumable.,,下游产品,指明此产品是消耗品的另一产品（或多个产品）的指针。,,,,,http://schema.org/isConsumableFor
property,http://cnschema.org/isFamilyFriendly,isFamilyFriendly,Indicates whether this content is family friendly.,,是否适合全家观看,指明是否适合全家观看,,,,,http://schema.org/isFamilyFriendly
property,http://cnschema.org/isGift,isGift,Was the offer accepted as a gift for someone other than the buyer.,,是否礼物,是否礼物,,,,,http://schema.org/isGift
property,http://cnschema.org/isLiveBroadcast,isLiveBroadcast,True is the broadcast is of a live event.,,是否直播,指明该广播是否为现场直播,,,,,http://schema.org/isLiveBroadcast
property,http://cnschema.org/isPartOf,isPartOf,Indicates a CreativeWork that this CreativeWork is (in some sense) part of.,,从属于,是它的一部分,,part of,https://www.wikidata.org/entity/P361,,http://schema.org/isPartOf
property,http://cnschema.org/isRelatedTo,isRelatedTo,"A pointer to another, somehow related product (or multiple products).",,相关,跟它相关,,,,,http://schema.org/isRelatedTo
property,http://cnschema.org/isSimilarTo,isSimilarTo,"A pointer to another, functionally similar product (or multiple products).",,相似,跟它相似,,,,,http://schema.org/isSimilarTo
property,http://cnschema.org/isVariantOf,isVariantOf,"A pointer to a base product from which this product is a variant. It is safe to infer that the variant inherits all product features from the base model, unless defined locally. This is not transitive.",,变形,是他的一种变形,,,,,http://schema.org/isVariantOf
property,http://cnschema.org/isbn,isbn,The ISBN of the book.,,ISBN码,书籍的国际标准书号(ISBN),,,,,http://schema.org/isbn
property,http://cnschema.org/isicV4,isicV4,"The International Standard of Industrial Classification of All Economic Activities (ISIC), Revision 4 code for a particular organization, business person, or place.",,国际标准行业分类,ISIC是所有经济活动的国际工业分类标准，而V4代码是为特定组织，商业人士或地点的修订,,,,,http://schema.org/isicV4
property,http://cnschema.org/isrcCode,isrcCode,The International Standard Recording Code for the recording.,,国际标准音像制品代码,国际标准音像制品代码,,International Standard Recording Code,https://www.wikidata.org/entity/P1243,,http://schema.org/isrcCode
property,http://cnschema.org/issn,issn,The International Standard Serial Number (ISSN) that identifies this periodical. You can repeat this property to (for example) identify different formats of this periodical.,,ISSN号,期刊的国际标准序列号,,ISSN,http://www.wikidata.org/entity/P236,https://en.wikipedia.org/wiki/Issn,http://schema.org/issn
property,http://cnschema.org/issueNumber,issueNumber,"Identifies the issue of publication; for example, ""iii"" or ""2"".",,期刊号,期刊标记符,,,,,http://schema.org/issueNumber
property,http://cnschema.org/issuedBy,issuedBy,The organization issuing the ticket or permit.,,许可的签发机构,许可的签发机构,,issued by,http://www.wikidata.org/entity/P2378,https://en.wikipedia.org/wiki/Issue_number,http://schema.org/issuedBy
property,http://cnschema.org/issuedThrough,issuedThrough,The service through with the permit was granted.,,被许可的服务,被许可的服务,,,,,http://schema.org/issuedThrough
property,http://cnschema.org/iswcCode,iswcCode,The International Standard Musical Work Code for the composition.,,国际标准音乐作品编码,国际标准音乐作品编码,国际标准音乐作品编号,ISWC,http://www.wikidata.org/entity/P1827,https://en.wikipedia.org/wiki/ISWC,http://schema.org/iswcCode
property,http://cnschema.org/item,item,An entity represented by an entry in a list or data feed (e.g. an 'artist' in a list of 'artists')’.,,条目,列表中的一项,,,,,http://schema.org/item
property,http://cnschema.org/itemCondition,itemCondition,"A predefined value from OfferItemCondition or a textual description of the condition of the product or service, or the products or services included in the offer.",,规格,预定义值,品相,,,,http://schema.org/itemCondition
